run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,66,5,198,405
2,64,7,192,336
3,65,6,195,366
4,63,8,189,447
5,68,3,204,308
6,62,9,186,487
7,60,11,180,512
8,64,7,192,351
9,69,2,207,286
10,66,5,198,430
11,65,6,195,392
12,64,7,192,436
13,62,9,186,361
14,61,10,183,474
15,66,5,198,264
16,63,8,189,366
17,65,6,195,402
18,65,6,195,304
19,67,4,201,323
20,64,7,192,421
21,66,5,198,316
22,67,4,201,409
23,64,7,192,397
24,65,6,195,298
25,63,8,189,370
26,65,6,195,326
27,66,5,198,383
28,64,7,192,446
29,65,6,195,334
30,58,13,174,518
31,66,5,198,324
32,62,9,186,416
33,65,6,195,374
34,67,4,201,471
35,64,7,192,366
36,60,11,180,462
37,62,9,186,381
38,65,6,195,413
39,65,6,195,310
40,65,6,195,403
