run_num,tasks_completed,work_in_process
1,62,9
2,58,13
3,61,10
4,61,10
5,63,8
6,61,10
7,62,9
8,62,9
9,61,10
10,61,10
11,62,9
12,56,15
13,54,17
14,61,10
15,60,11
16,62,9
17,62,9
18,60,11
19,58,13
20,64,7
21,60,11
22,58,13
23,49,22
24,58,13
25,64,7
26,62,9
27,58,13
28,61,10
29,61,10
30,57,14
31,63,8
32,63,8
33,65,6
34,59,12
35,60,11
36,62,9
37,63,8
38,58,13
39,58,13
40,65,6
41,59,12
42,60,11
43,59,12
44,58,13
45,53,18
46,60,11
47,58,13
48,65,6
49,63,8
50,64,7
51,59,12
52,55,16
53,60,11
54,59,12
55,57,14
56,61,10
57,55,16
58,56,15
59,62,9
60,59,12
61,62,9
62,61,10
63,56,15
64,58,13
65,57,14
66,63,8
67,60,11
68,60,11
69,62,9
70,66,5
71,63,8
72,65,6
73,59,12
74,62,9
75,53,18
76,58,13
77,58,13
78,60,11
79,60,11
80,57,14
81,63,8
82,61,10
83,62,9
84,62,9
85,57,14
86,59,12
87,60,11
88,56,15
89,60,11
90,56,15
91,64,7
92,60,11
93,59,12
94,58,13
95,65,6
96,60,11
97,60,11
98,63,8
99,62,9
100,59,12
101,62,9
102,65,6
103,61,10
104,60,11
105,65,6
106,56,15
107,64,7
108,59,12
109,62,9
110,58,13
111,58,13
112,62,9
113,60,11
114,58,13
115,64,7
116,56,15
117,64,7
118,62,9
119,56,15
120,63,8
121,54,17
122,63,8
123,57,14
124,61,10
125,57,14
126,61,10
127,65,6
128,63,8
129,63,8
130,62,9
131,57,14
132,52,19
133,63,8
134,59,12
135,60,11
136,60,11
137,57,14
138,55,16
139,56,15
140,59,12
141,60,11
142,61,10
143,63,8
144,66,5
145,61,10
146,59,12
147,60,11
148,60,11
149,64,7
150,64,7
151,61,10
152,60,11
153,59,12
154,64,7
155,59,12
156,56,15
157,57,14
158,62,9
159,67,4
160,65,6
161,64,7
162,63,8
163,58,13
164,57,14
165,63,8
166,63,8
167,53,18
168,61,10
169,64,7
170,61,10
171,62,9
172,59,12
173,61,10
174,61,10
175,60,11
176,60,11
177,65,6
178,58,13
179,64,7
180,59,12
181,57,14
182,60,11
183,60,11
184,60,11
185,61,10
186,61,10
187,65,6
188,61,10
189,61,10
190,64,7
191,58,13
192,59,12
193,61,10
194,64,7
195,58,13
196,60,11
197,59,12
198,59,12
199,67,4
200,56,15
201,62,9
202,60,11
203,59,12
204,62,9
205,60,11
206,64,7
207,60,11
208,65,6
209,61,10
210,59,12
211,56,15
212,58,13
213,59,12
214,64,7
215,66,5
216,59,12
217,61,10
218,59,12
219,64,7
220,60,11
221,56,15
222,57,14
223,59,12
224,64,7
225,60,11
226,60,11
227,60,11
228,63,8
229,55,16
230,59,12
231,63,8
232,63,8
233,60,11
234,59,12
235,57,14
236,59,12
237,65,6
238,56,15
239,62,9
240,63,8
241,63,8
242,57,14
243,62,9
244,61,10
245,59,12
246,54,17
247,51,20
248,60,11
249,60,11
250,59,12
251,65,6
252,61,10
253,56,15
254,61,10
255,59,12
256,62,9
257,60,11
258,66,5
259,62,9
260,53,18
261,66,5
262,55,16
263,63,8
264,52,19
265,61,10
266,60,11
267,64,7
268,61,10
269,60,11
270,54,17
271,63,8
272,64,7
273,57,14
274,59,12
275,61,10
276,48,23
277,63,8
278,62,9
279,58,13
280,54,17
281,62,9
282,57,14
283,55,16
284,60,11
285,60,11
286,61,10
287,57,14
288,63,8
289,60,11
290,64,7
291,59,12
292,64,7
293,58,13
294,64,7
295,59,12
296,59,12
297,63,8
298,52,19
299,60,11
300,55,16
301,58,13
302,64,7
303,62,9
304,53,18
305,65,6
306,61,10
307,56,15
308,60,11
309,58,13
310,62,9
311,61,10
312,60,11
313,61,10
314,61,10
315,62,9
316,67,4
317,60,11
318,59,12
319,58,13
320,62,9
321,59,12
322,61,10
323,63,8
324,60,11
325,62,9
326,49,22
327,57,14
328,64,7
329,60,11
330,58,13
331,63,8
332,61,10
333,55,16
334,63,8
335,62,9
336,62,9
337,60,11
338,65,6
339,57,14
340,56,15
341,64,7
342,61,10
343,58,13
344,60,11
345,56,15
346,60,11
347,59,12
348,63,8
349,63,8
350,59,12
351,56,15
352,59,12
353,64,7
354,63,8
355,61,10
356,59,12
357,64,7
358,59,12
359,61,10
360,62,9
361,58,13
362,64,7
363,56,15
364,59,12
365,64,7
366,62,9
367,54,17
368,59,12
369,64,7
370,59,12
371,66,5
372,58,13
373,62,9
374,60,11
375,65,6
376,57,14
377,65,6
378,67,4
379,55,16
380,54,17
381,56,15
382,61,10
383,61,10
384,61,10
385,57,14
386,62,9
387,60,11
388,60,11
389,59,12
390,57,14
391,56,15
392,62,9
393,60,11
394,63,8
395,56,15
396,57,14
397,58,13
398,59,12
399,62,9
400,63,8
401,63,8
402,62,9
403,61,10
404,56,15
405,60,11
406,54,17
407,62,9
408,58,13
409,66,5
410,51,20
411,61,10
412,63,8
413,58,13
414,58,13
415,67,4
416,64,7
417,63,8
418,56,15
419,58,13
420,57,14
421,55,16
422,60,11
423,59,12
424,56,15
425,54,17
426,60,11
427,59,12
428,63,8
429,63,8
430,55,16
431,66,5
432,60,11
433,63,8
434,62,9
435,61,10
436,58,13
437,59,12
438,60,11
439,61,10
440,65,6
441,61,10
442,60,11
443,62,9
444,53,18
445,59,12
446,59,12
447,57,14
448,60,11
449,55,16
450,55,16
451,61,10
452,64,7
453,57,14
454,56,15
455,58,13
456,57,14
457,55,16
458,65,6
459,61,10
460,61,10
461,66,5
462,62,9
463,62,9
464,53,18
465,62,9
466,61,10
467,65,6
468,60,11
469,61,10
470,60,11
471,60,11
