run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,4,1407,12,276
2,4,1407,12,285
3,5,1406,15,261
4,2,1409,6,326
5,0,1411,0,331
6,0,1411,0,313
7,3,1408,9,331
8,4,1407,12,299
9,7,1404,21,299
10,2,1409,6,287
11,2,1409,6,298
12,3,1408,9,278
13,5,1406,15,286
14,2,1409,6,298
15,2,1409,6,296
16,3,1408,9,347
17,5,1406,15,270
18,2,1409,6,267
19,3,1408,9,288
20,3,1408,9,298
21,3,1408,9,275
22,3,1408,9,283
23,4,1407,12,302
24,4,1407,12,363
25,2,1409,6,333
26,1,1410,3,325
27,2,1409,6,282
28,5,1406,15,335
29,1,1410,3,313
30,1,1410,3,310
31,5,1406,15,316
32,6,1405,18,320
33,4,1407,12,298
34,5,1406,15,268
35,1,1410,3,341
36,3,1408,9,296
37,2,1409,6,279
38,0,1411,0,300
39,2,1409,6,301
40,0,1411,0,324
