run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,47,94,141,408
2,49,92,147,402
3,61,80,183,332
4,50,91,150,405
5,57,84,171,377
6,48,93,144,406
7,44,97,132,403
8,52,89,156,399
9,64,77,192,366
10,61,80,183,366
11,60,81,180,371
12,55,86,165,411
13,59,82,177,389
14,67,74,201,359
15,55,86,165,397
16,57,84,171,402
17,63,78,189,382
18,46,95,138,378
19,58,83,174,362
20,50,91,150,401
21,53,88,159,350
22,60,81,180,353
23,48,93,144,392
24,65,76,195,364
25,45,96,135,398
26,55,86,165,374
27,55,86,165,377
28,69,72,207,350
29,55,86,165,336
30,67,74,201,358
31,54,87,162,393
32,57,84,171,394
33,56,85,168,348
34,64,77,192,364
35,55,86,165,371
36,58,83,174,376
37,48,93,144,405
38,61,80,183,346
39,61,80,183,372
40,52,89,156,406
