completion_time,task_id,start_time,process_time,num_operations
5,0,0,5,3
9,2,4,5,3
9,1,2,7,3
12,3,6,6,3
16,6,12,4,3
17,4,8,9,3
18,5,10,8,3
21,7,14,7,3
22,9,18,4,3
23,8,16,7,3
33,14,28,5,3
45,13,26,19,3
49,19,38,11,3
51,18,36,15,3
52,10,20,32,3
56,17,34,22,3
56,15,30,26,3
62,12,24,38,3
64,23,46,18,3
64,11,22,42,3
71,25,50,21,3
71,27,54,17,3
71,28,56,15,3
74,22,44,30,3
74,21,42,32,3
74,16,32,42,3
75,24,48,27,3
76,26,52,24,3
77,31,62,15,3
79,30,60,19,3
84,33,66,18,3
86,34,68,18,3
86,36,72,14,3
87,29,58,29,3
97,46,92,5,3
97,41,82,15,3
104,39,78,26,3
104,44,88,16,3
106,40,80,26,3
107,38,76,31,3
109,32,64,45,3
109,37,74,35,3
113,45,90,23,3
114,51,102,12,3
114,42,84,30,3
118,48,96,22,3
120,50,100,20,3
120,49,98,22,3
124,43,86,38,3
126,47,94,32,3
126,60,120,6,3
126,55,110,16,3
128,56,112,16,3
129,57,114,15,3
129,35,70,59,3
133,20,40,93,3
133,62,124,9,3
140,54,108,32,3
