run_num,tasks_completed,work_in_process
1,60,11
2,36,35
3,58,13
4,53,18
5,45,26
6,58,13
7,46,25
8,42,29
9,48,23
10,48,23
11,48,23
12,45,26
13,56,15
14,40,31
15,47,24
16,48,23
17,59,12
18,54,17
19,44,27
20,50,21
21,50,21
22,48,23
23,40,31
24,53,18
25,41,30
26,46,25
27,44,27
28,56,15
29,52,19
30,47,24
31,50,21
32,39,32
33,67,4
34,59,12
35,58,13
36,52,19
37,55,16
38,62,9
39,52,19
40,65,6
41,48,23
42,57,14
43,52,19
44,57,14
45,52,19
46,60,11
47,45,26
48,52,19
49,43,28
50,54,17
51,55,16
52,49,22
53,61,10
54,52,19
55,52,19
56,56,15
57,51,20
58,48,23
59,55,16
60,50,21
61,56,15
62,52,19
63,50,21
64,54,17
65,51,20
66,47,24
67,57,14
68,47,24
69,58,13
70,52,19
71,58,13
72,53,18
73,51,20
74,33,38
75,54,17
76,59,12
77,47,24
78,40,31
79,56,15
80,60,11
81,59,12
82,55,16
83,39,32
84,58,13
85,55,16
86,46,25
87,54,17
88,51,20
89,60,11
90,52,19
91,51,20
92,59,12
93,39,32
94,47,24
95,63,8
96,48,23
97,58,13
98,50,21
99,58,13
100,55,16
101,51,20
102,52,19
103,60,11
104,49,22
105,44,27
106,59,12
107,52,19
108,52,19
109,46,25
110,49,22
111,57,14
112,43,28
113,42,29
114,60,11
115,44,27
116,54,17
117,64,7
118,56,15
119,57,14
120,54,17
121,56,15
122,46,25
123,57,14
124,49,22
125,47,24
126,53,18
127,53,18
128,50,21
129,65,6
130,41,30
131,60,11
132,52,19
133,46,25
134,49,22
135,58,13
136,38,33
137,52,19
138,47,24
139,54,17
140,39,32
141,51,20
142,56,15
143,56,15
144,59,12
145,51,20
146,49,22
147,60,11
148,64,7
149,43,28
150,55,16
151,49,22
152,58,13
153,43,28
154,48,23
155,60,11
156,53,18
157,46,25
158,40,31
159,50,21
160,56,15
161,59,12
162,49,22
163,53,18
164,58,13
165,57,14
166,58,13
167,51,20
168,48,23
169,61,10
170,57,14
171,55,16
172,59,12
173,53,18
174,55,16
175,56,15
176,42,29
177,55,16
178,55,16
179,43,28
180,47,24
181,54,17
182,54,17
183,58,13
184,48,23
185,53,18
186,45,26
187,47,24
188,47,24
189,44,27
190,52,19
191,54,17
192,45,26
193,48,23
194,62,9
195,51,20
196,55,16
197,48,23
198,49,22
199,53,18
200,56,15
201,57,14
202,51,20
203,49,22
204,57,14
205,39,32
206,57,14
207,42,29
208,49,22
209,50,21
210,46,25
211,58,13
212,58,13
213,51,20
214,39,32
215,57,14
216,55,16
217,51,20
218,49,22
219,45,26
220,50,21
221,58,13
222,50,21
223,55,16
224,51,20
225,54,17
226,45,26
227,52,19
228,49,22
229,46,25
230,54,17
231,58,13
232,51,20
233,50,21
234,59,12
235,35,36
236,43,28
237,53,18
238,57,14
239,55,16
240,60,11
241,46,25
242,47,24
243,57,14
244,48,23
245,53,18
246,54,17
247,48,23
248,49,22
249,46,25
250,54,17
251,53,18
252,54,17
253,54,17
254,57,14
255,56,15
256,55,16
257,61,10
258,44,27
259,59,12
260,57,14
261,53,18
262,60,11
263,63,8
264,52,19
265,61,10
266,63,8
267,65,6
268,40,31
269,47,24
270,50,21
271,46,25
272,32,39
273,49,22
274,58,13
275,46,25
276,58,13
277,52,19
278,50,21
279,44,27
280,51,20
281,48,23
282,60,11
283,50,21
284,45,26
285,43,28
286,57,14
287,47,24
288,55,16
289,46,25
290,51,20
291,58,13
292,59,12
293,55,16
294,40,31
295,56,15
296,52,19
297,50,21
298,43,28
299,42,29
300,41,30
301,56,15
302,50,21
303,45,26
304,44,27
305,55,16
306,51,20
307,49,22
308,57,14
309,41,30
310,61,10
311,56,15
312,51,20
313,58,13
314,54,17
315,50,21
316,53,18
317,57,14
318,54,17
319,45,26
320,62,9
321,44,27
322,52,19
323,43,28
324,57,14
325,60,11
326,54,17
327,49,22
328,51,20
329,52,19
330,51,20
331,47,24
332,57,14
333,47,24
334,48,23
335,61,10
