run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,48,23,144,281
2,59,12,177,201
3,60,11,180,325
4,57,14,171,366
5,51,20,153,271
6,51,20,153,402
7,47,24,141,406
8,41,30,123,380
9,47,24,141,335
10,54,17,162,318
11,54,17,162,396
12,61,10,183,290
13,53,18,159,263
14,49,22,147,304
15,57,14,171,335
16,47,24,141,330
17,49,22,147,391
18,49,22,147,339
19,41,30,123,290
20,50,21,150,325
21,56,15,168,324
22,50,21,150,278
23,48,23,144,315
24,58,13,174,276
25,56,15,168,349
26,55,16,165,319
27,45,26,135,356
28,54,17,162,351
29,50,21,150,346
30,46,25,138,294
31,59,12,177,363
32,53,18,159,292
33,47,24,141,336
34,61,10,183,376
35,50,21,150,361
36,49,22,147,369
37,43,28,129,247
38,46,25,138,392
39,43,28,129,363
40,51,20,153,304
