run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,608,97,1824,2873
2,598,107,1794,2785
3,590,115,1770,2838
4,595,110,1785,2909
5,618,87,1854,2677
6,599,106,1797,2935
7,594,111,1782,2889
8,579,126,1737,2924
9,608,97,1824,2701
10,605,100,1815,2736
11,576,129,1728,2939
12,603,102,1809,2778
13,602,103,1806,2670
14,622,83,1866,2604
15,614,91,1842,2772
16,601,104,1803,2852
17,607,98,1821,2647
18,601,104,1803,2806
19,604,101,1812,2806
20,615,90,1845,2736
21,617,88,1851,2681
22,597,108,1791,2590
23,605,100,1815,2846
24,605,100,1815,2844
25,601,104,1803,2846
26,615,90,1845,2752
27,589,116,1767,2964
28,611,94,1833,2684
29,595,110,1785,2744
30,603,102,1809,2547
31,591,114,1773,2882
32,617,88,1851,2718
33,612,93,1836,2698
34,593,112,1779,2897
35,554,151,1662,3110
36,585,120,1755,2805
37,613,92,1839,2646
38,599,106,1797,2700
39,598,107,1794,2940
40,618,87,1854,2752
