run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,606,99,1818,2852
2,583,122,1749,2913
3,602,103,1806,2843
4,609,96,1827,2675
5,599,106,1797,2755
6,612,93,1836,2544
7,587,118,1761,2865
8,573,132,1719,3003
9,609,96,1827,2669
10,577,128,1731,2993
11,608,97,1824,2554
12,595,110,1785,2754
13,599,106,1797,2785
14,579,126,1737,2856
15,609,96,1827,2706
16,565,140,1695,3169
17,589,116,1767,2810
18,571,134,1713,3021
19,606,99,1818,2747
20,612,93,1836,2556
21,615,90,1845,2703
22,613,92,1839,2601
23,586,119,1758,2754
24,585,120,1755,2956
25,599,106,1797,2704
26,562,143,1686,3015
27,594,111,1782,2680
28,576,129,1728,2841
29,592,113,1776,2827
30,612,93,1836,2624
31,614,91,1842,2620
32,586,119,1758,2822
33,582,123,1746,3050
34,602,103,1806,2737
35,596,109,1788,2810
36,591,114,1773,2793
37,611,94,1833,2711
38,617,88,1851,2658
39,604,101,1812,2751
40,580,125,1740,3023
