sample_time,tasks_completed,work_in_process,tasks_forwarded
0,0,1,0
5,2,49,32
10,12,89,133
15,32,119,246
20,47,153,358
25,73,177,481
30,99,201,602
35,115,235,735
40,136,264,862
45,160,290,990
50,185,315,1114
55,206,344,1233
60,238,362,1364
65,258,392,1499
70,275,425,1641
75,312,438,1770
80,341,460,1879
85,373,478,2012
90,399,502,2148
95,417,534,2292
100,440,561,2434
105,465,586,2566
110,491,610,2691
115,517,634,2830
120,545,656,2967
125,571,680,3107
130,595,706,3239
135,622,729,3370
140,643,758,3512
