run_num,tasks_completed,work_in_process,complexity,tasks_forwarded
1,64,7,192,303
2,61,10,183,307
3,65,6,195,314
4,60,11,180,357
5,61,10,183,431
6,61,10,183,406
7,63,8,189,306
8,60,11,180,408
9,66,5,198,302
10,60,11,180,405
11,62,9,186,380
12,60,11,180,400
13,60,11,180,413
14,61,10,183,382
15,62,9,186,354
16,63,8,189,405
17,61,10,183,363
18,66,5,198,281
19,65,6,195,334
20,64,7,192,392
21,61,10,183,327
22,59,12,177,406
23,61,10,183,446
24,65,6,195,308
25,61,10,183,416
26,55,16,165,437
27,63,8,189,339
28,62,9,186,459
29,63,8,189,389
30,62,9,186,342
31,58,13,174,426
32,57,14,171,386
33,63,8,189,382
34,64,7,192,305
35,63,8,189,366
36,65,6,195,400
37,59,12,177,478
38,67,4,201,330
39,63,8,189,451
40,64,7,192,396
