completion_time,task_id,start_time,process_time,num_operations
9,2,4,5,3
10,3,6,4,3
11,0,0,11,3
15,5,10,5,3
16,4,8,8,3
18,6,12,6,3
20,1,2,18,3
22,7,14,8,3
22,8,16,6,3
27,10,20,7,3
27,9,18,9,3
28,11,22,6,3
32,12,24,8,3
35,15,30,5,3
43,14,28,15,3
43,13,26,17,3
49,17,34,15,3
50,16,32,18,3
50,18,36,14,3
52,22,44,8,3
57,24,48,9,3
57,20,40,17,3
59,23,46,13,3
59,25,50,9,3
60,19,38,22,3
63,21,42,21,3
65,27,54,11,3
69,28,56,13,3
75,30,60,15,3
75,32,64,11,3
76,26,52,24,3
77,29,58,19,3
80,31,62,18,3
81,34,68,13,3
83,33,66,17,3
84,38,76,8,3
87,37,74,13,3
89,39,78,11,3
92,43,86,6,3
92,42,84,8,3
93,36,72,21,3
96,35,70,26,3
97,40,80,17,3
102,46,92,10,3
106,47,94,12,3
107,41,82,25,3
107,48,96,11,3
107,49,98,9,3
113,44,88,25,3
116,54,108,8,3
118,55,110,8,3
120,57,114,6,3
122,45,90,32,3
125,58,116,9,3
126,53,106,20,3
127,50,100,27,3
131,51,102,29,3
132,56,112,20,3
137,60,120,17,3
137,59,118,19,3
139,61,122,17,3
140,62,124,16,3
