completion_time,task_id,start_time,process_time,num_operations
7.5,0,0.0,7.5,3
9.0,3,1.5,7.5,3
12.5,6,3.0,9.5,3
17.5,14,7.0,10.5,3
19.5,4,2.0,17.5,3
20.5,2,1.0,19.5,3
22.0,13,6.5,15.5,3
22.5,11,5.5,17.0,3
25.5,7,3.5,22.0,3
27.0,8,4.0,23.0,3
30.0,1,0.5,29.5,3
30.5,16,8.0,22.5,3
31.5,15,7.5,24.0,3
33.5,30,15.0,18.5,3
34.5,33,16.5,18.0,3
36.5,27,13.5,23.0,3
37.5,51,25.5,12.0,3
40.5,40,20.0,20.5,3
40.5,19,9.5,31.0,3
41.5,24,12.0,29.5,3
42.5,38,19.0,23.5,3
45.5,60,30.0,15.5,3
45.5,34,17.0,28.5,3
47.5,71,35.5,12.0,3
49.5,48,24.0,25.5,3
49.5,59,29.5,20.0,3
50.5,17,8.5,42.0,3
50.5,32,16.0,34.5,3
50.5,9,4.5,46.0,3
52.5,63,31.5,21.0,3
53.5,73,36.5,17.0,3
54.5,74,37.0,17.5,3
55.5,28,14.0,41.5,3
59.5,100,50.0,9.5,3
60.5,36,18.0,42.5,3
61.5,56,28.0,33.5,3
66.0,41,20.5,45.5,3
67.5,29,14.5,53.0,3
69.5,21,10.5,59.0,3
73.5,61,30.5,43.0,3
76.5,98,49.0,27.5,3
76.5,12,6.0,70.5,3
77.5,44,22.0,55.5,3
78.5,5,2.5,76.0,3
78.5,58,29.0,49.5,3
80.5,42,21.0,59.5,3
82.5,37,18.5,64.0,3
87.5,52,26.0,61.5,3
87.5,103,51.5,36.0,3
87.5,65,32.5,55.0,3
91.5,26,13.0,78.5,3
92.5,95,47.5,45.0,3
92.5,78,39.0,53.5,3
92.5,104,52.0,40.5,3
93.5,88,44.0,49.5,3
94.5,80,40.0,54.5,3
97.5,23,11.5,86.0,3
98.5,102,51.0,47.5,3
100.5,124,62.0,38.5,3
102.5,53,26.5,76.0,3
104.5,50,25.0,79.5,3
106.5,39,19.5,87.0,3
107.5,166,83.0,24.5,3
107.5,20,10.0,97.5,3
110.5,55,27.5,83.0,3
111.5,77,38.5,73.0,3
112.5,31,15.5,97.0,3
115.5,109,54.5,61.0,3
115.5,35,17.5,98.0,3
117.5,158,79.0,38.5,3
117.5,92,46.0,71.5,3
117.5,99,49.5,68.0,3
117.5,10,5.0,112.5,3
118.5,153,76.5,42.0,3
118.5,68,34.0,84.5,3
120.5,117,58.5,62.0,3
121.5,156,78.0,43.5,3
121.5,129,64.5,57.0,3
122.5,143,71.5,51.0,3
123.5,54,27.0,96.5,3
127.5,150,75.0,52.5,3
127.5,25,12.5,115.0,3
132.5,70,35.0,97.5,3
132.5,45,22.5,110.0,3
133.5,130,65.0,68.5,3
133.5,146,73.0,60.5,3
134.5,133,66.5,68.0,3
135.5,67,33.5,102.0,3
138.5,110,55.0,83.5,3
138.5,147,73.5,65.0,3
140.5,127,63.5,77.0,3
140.5,145,72.5,68.0,3
